Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Year,Month,Day,Inventory Status,Inventory Utilization,Order Difference,Sales Difference,Demand Status
2022-01-01,S001,P0012,Clothing,West,66,24,70,26.75,58.25,20,Snowy,0,62.21,Spring,2022,1,1,Low,36.36363636363637,43.25,-2.75,Lower than Forecast
2022-01-01,S001,P0013,Toys,South,96,42,85,41.46,43.6,0,Cloudy,0,46.31,Spring,2022,1,1,Low,43.75,43.54,0.5399999999999991,Higher than Forecast
2022-01-01,S002,P0011,Groceries,West,67,13,33,7.44,34.62,0,Snowy,1,33.98,Autumn,2022,1,1,Low,19.402985074626866,25.56,5.56,Higher than Forecast
2022-01-01,S002,P0019,Toys,East,67,15,186,34.38,84.99,5,Sunny,1,81.02,Winter,2022,1,1,Low,22.388059701492537,151.62,-19.380000000000003,Lower than Forecast
2022-01-01,S003,P0013,Furniture,North,51,17,172,12.86,73.98,20,Cloudy,1,76.65,Summer,2022,1,1,Low,33.33333333333333,159.14,4.140000000000001,Higher than Forecast
2022-01-01,S004,P0009,Furniture,North,63,40,73,51.78,59.23,10,Rainy,1,61.1,Summer,2022,1,1,Low,63.49206349206349,21.22,-11.780000000000001,Lower than Forecast
2022-01-01,S005,P0010,Clothing,East,87,8,141,14.38,37.04,10,Rainy,1,36.87,Summer,2022,1,1,Low,9.195402298850574,126.62,-6.380000000000001,Lower than Forecast
2022-01-01,S005,P0016,Clothing,South,71,11,32,1.85,16.3,5,Sunny,0,17.98,Winter,2022,1,1,Low,15.492957746478872,30.15,9.15,Higher than Forecast
2022-01-02,S001,P0008,Clothing,East,92,74,121,67.04,58.89,5,Cloudy,0,61.56,Autumn,2022,1,2,Low,80.43478260869566,53.959999999999994,6.959999999999994,Higher than Forecast
2022-01-02,S001,P0009,Toys,South,99,54,182,70.6,99.76,20,Cloudy,0,95.61,Spring,2022,1,2,Low,54.54545454545454,111.4,-16.599999999999994,Lower than Forecast
2022-01-02,S001,P0014,Electronics,West,84,25,20,23.36,31.41,0,Cloudy,1,28.6,Spring,2022,1,2,Low,29.761904761904763,-3.3599999999999994,1.6400000000000006,Higher than Forecast
2022-01-02,S002,P0005,Groceries,North,93,64,128,57.53,87.22,5,Cloudy,1,90.59,Spring,2022,1,2,Low,68.81720430107528,70.47,6.469999999999999,Higher than Forecast
2022-01-02,S003,P0019,Furniture,North,59,50,135,44.37,59.33,10,Cloudy,0,54.98,Spring,2022,1,2,Low,84.7457627118644,90.63,5.630000000000003,Higher than Forecast
2022-01-02,S004,P0005,Toys,West,99,4,76,14.91,60.89,5,Sunny,0,59.42,Autumn,2022,1,2,Low,4.040404040404041,61.09,-10.91,Lower than Forecast
2022-01-02,S004,P0006,Toys,East,97,47,138,52.02,14.71,5,Cloudy,0,16.85,Autumn,2022,1,2,Low,48.45360824742268,85.97999999999999,-5.020000000000003,Lower than Forecast
2022-01-02,S005,P0002,Furniture,West,100,15,114,28.97,66.05,10,Sunny,1,65.16,Autumn,2022,1,2,Low,15.0,85.03,-13.969999999999999,Lower than Forecast
2022-01-02,S005,P0006,Clothing,North,76,54,175,49.32,69.21,15,Rainy,1,71.17,Summer,2022,1,2,Low,71.05263157894737,125.68,4.68,Higher than Forecast
2022-01-02,S005,P0011,Electronics,East,60,16,149,23.98,25.67,5,Sunny,1,27.78,Winter,2022,1,2,Low,26.666666666666668,125.02,-7.98,Lower than Forecast
2022-01-02,S005,P0018,Clothing,West,89,83,113,78.67,47.05,15,Rainy,1,47.89,Spring,2022,1,2,Low,93.25842696629213,34.33,4.329999999999998,Higher than Forecast
2022-01-03,S001,P0006,Furniture,South,57,9,40,13.6,57.65,5,Sunny,0,58.01,Summer,2022,1,3,Low,15.789473684210526,26.4,-4.6,Lower than Forecast
