Product ID,Total_Units_Sold,Total_Units_Ordered,Average_Inventory,Average_Demand_Forecast
P0001,498061,407890,272.9939808481532,141.4286046511628
P0002,487827,402077,271.14610123119013,138.49623529411764
P0003,493279,402987,274.9326949384405,140.13180574555403
P0004,495501,394665,271.55649794801644,140.7192831737346
P0005,503648,400964,273.04186046511626,142.76234746922026
P0006,497131,396421,273.57127222982217,141.01021614227088
P0007,499321,397638,274.71326949384405,141.66409849521204
P0008,488563,402829,272.774829001368,138.67039671682627
P0009,502086,398726,275.32476060191516,142.41639671682626
P0010,496469,406923,274.92257181942546,140.65430369357045
P0011,499362,400625,272.8076607387141,141.61690287277702
P0012,491670,403404,272.51190150478794,139.56002735978112
P0013,500619,405275,275.1113543091655,142.17935978112175
P0014,507622,402485,277.8922024623803,143.7999151846785
P0015,507283,400720,276.40820793433653,143.91188508891926
P0016,508472,403376,277.5050615595075,143.98713269493842
P0017,500510,403335,278.3209302325581,142.01254172366623
P0018,492551,399621,272.53871409028727,140.04650615595074
P0019,497899,403556,274.5253077975376,141.1636169630643
P0020,507708,407810,276.7983584131327,143.66282626538987
